Name,Category,Matrix unit,"Energy, kilocalories (kcal)","Fat, total (g)","Fatty acids, saturated (g)","Fatty acids, monounsaturated (g)","Fatty acids, polyunsaturated (g)",Cholesterol (mg),"Carbohydrates, available (g)",Sugars (g),Starch (g),Dietary fibres (g),Protein (g),Salt (NaCl) (g),Alcohol (g),Water (g),"Vitamin A activity, RE (µg-RE)","Vitamin A activity, RAE (µg-RE)",Retinol (µg),Beta- carotene activity (µg-BCE),Beta-carotene (µg),Vitamin B1 (thiamine) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B6 (pyridoxine) (mg),Vitamin B12 (cobalamin) (µg),Niacin (mg),Folate (µg),Panthotenic acid (mg),Vitamin C (ascorbic acid) (mg),Vitamin D (calciferol) (µg),Vitamin E (?-tocopherol) (mg),Potassium (K) (mg),Sodium (Na) (mg),Chloride (Cl) (mg),Calcium (Ca) (mg),Magnesium (Mg) (mg),Phosphorus (P) (mg),Iron (Fe) (mg),Iodide (I) (µg),Zinc (Zn) (mg),Selenium (Se) (µg)
Fruit pie with puff pastry (average),"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",per 100g edible portion,141,6.9,3,2.6,0.8,18,15.9,6.9,8.3,2.1,2.8,0.3,0,72.4,39,23,8,182,182,0.04,0.05,0.03,0.08,0.23,6.1,0.28,4.9,0.1,0.9,160,110,180,32,10,39,0.3,3.5,0.2,n.d.
Fruit pie with sweet short pastry base (average),"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",per 100g edible portion,215,11.7,5.8,3.9,1.2,19,22.5,10.4,11.7,3.4,3.3,0.1,0,59.3,54,50,46,48,48,0.04,0.05,0.05,0.05,0.28,10,0.4,12.1,0.1,1.21,170,42,81,32,16,51,0.5,2.1,0.3,n.d.
"Fruits (average), cooked (without addition of sugar)",Fruit/Cooked fruit (incl. cans),per 100g edible portion,50,0.4,0.1,0,0.1,0,9.9,9.3,0,2.2,0.6,0,0,86.9,27,14,0,164,164,0.01,0.02,0.03,0,0.24,7.5,0.12,7.3,0,0.36,120,1.1,58,14,8.5,18,0.2,1.4,0.1,0.7
"Fruits, raw (average)",Fruit/Fresh fruit,per 100g edible portion,54,0.2,0,0,0.1,0,11.3,10.2,0.6,2.1,0.6,0,0,85.7,23,11,0,136,136,0.04,0.02,0.07,0,0.3,15.6,0.14,20.4,0,0.26,180,1.1,38,14,12,21,0.2,1.3,0.1,0.6
"Game meat (average), cooked (without addition of fat and Salt)",Meat and offal/Game,per 100g edible portion,157,4.6,2,1.8,0.3,81,0,0,0,0,29,0.2,0,66.4,1,1,1,0,0,0.24,0.31,0.43,1.97,4.44,6.9,1.08,0,0.2,0.43,440,95,58,20,29,280,3.4,1.6,4,n.d.
"Game meat (average), raw",Meat and offal/Game,per 100g edible portion,115,3.4,1.5,1.3,0.2,59,0,0,0,0,21.1,0.2,0,75.5,1,1,1,0,0,0.17,0.22,0.31,1.44,3.24,5,0.79,0,0.1,0.31,320,70,42,15,21,200,2.5,1.2,2.9,n.d.
"Garlic, raw",Vegetables/Fresh vegetables,per 100g edible portion,137,0.5,0.1,tr.,0.3,0,24.5,2.4,22.1,3,7,0,0,63.7,0,0,0,0,0,0.2,0.1,1.24,0,0.7,3,0.6,30,0,0,450,10,30,38,21,140,1.4,2.7,0.6,n.d.
Glucose,Sweets/Sugar and sweeteners,per 100g edible portion,399,0,0,0,0,0,99.8,99.8,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0.3,0,0,n.d.
"Goat (average), raw",Meat and offal/Other animal species,per 100g edible portion,149,7.9,3.6,3.3,0.4,70,0,0,0,0,19.5,0.1,0,71.6,36,36,36,0,0,0.15,0.28,0.3,3,4.9,5,0.5,0,tr.,1,300,50,9,10,20,190,2,1,3,n.d.
Goat milk,Milk and dairy products/Milk,per 100ml food volume,57,3.2,2,0.7,0.1,11,4.2,4.2,0,0,2.8,0.1,0,88.7,58,55,52,35,35,0.02,0.15,0.03,0.04,0.32,1,0.23,2,0.1,0.08,200,32,140,120,10,87,0,4.6,0.3,n.d.
"Gooseberry, raw",Fruit/Fresh fruit,per 100g edible portion,39,0.2,0,0,0.1,0,7.1,7.1,0,3,0.8,0,0,87.2,12,6,0,74,70,0.02,0.02,0.02,0,0.28,16,0.19,40.3,0,0.61,200,2,0.9,29,15,30,0.6,1,0.2,1.3
Gorgonzola,Milk and dairy products/Hard cheese,per 100g edible portion,357,31.2,18.7,7.4,1.4,94,0.1,0.1,0,0,19,3.6,0,42.4,190,182,175,88,88,0.01,0.36,0.07,0.9,0.32,52,1.41,tr.,0.6,0.54,140,1450,1800,610,20,360,0.3,40,2.5,n.d.
Goulash soup,Prepared dishes/Stews and soups,per 100g edible portion,67,2.4,1,1,0.2,7,6.3,1.4,4.1,0.4,4.8,0.6,0,85.3,30,15,0,177,177,0.02,0.06,0.08,0.2,1.13,3,0.14,1.9,tr.,0.13,220,230,350,10,13,35,0.5,0.5,0.6,n.d.
Grape juice,Fruit/Fruit juices;Non-alcoholic beverages/Fruit and vegetable juices,per 100ml food volume,71,0.1,0,0,0,0,17.3,17,0,0.1,0.3,0,0,87.3,1,0,0,5,<5,0.02,0.03,0.05,0,0.31,<5.3,0.05,1.7,0,0.42,120,4,3,8.8,8.9,13,0.5,0.5,0.1,4.2
Grape seed oil,Fats and oils/Oils,per 100ml food volume,810,90,10.1,16.7,58.8,0,0,0,0,0,0,0,0,0,5,3,0,31,0,0,0,0,0,0,0,0,0,0,17.34,0.9,0,0,0,0,0,0,0,0,0
"Grape, green, fresh",Fruit/Fresh fruit,per 100g edible portion,69,0.3,0.1,0,0.1,0,15.2,14.6,0,1.5,0.7,0,0,81.1,1,1,0,8,8,0.05,0.01,0.04,0,0.12,16.3,0.05,2.9,0,0.63,200,2,2,12,7.6,19,0.4,1,0,1.7
"Grapefruit (white or red), raw",Fruit/Fresh fruit,per 100g edible portion,42,0.5,tr.,tr.,tr.,0,8,6.6,tr.,0.9,0.9,0,0,88.6,66,33,0,396,351,0.06,0.02,0.03,0,0.2,23,0.22,36,0,0.27,130,1,12,23,8,18,0.1,0.3,0.1,<0.2
Graubünden barley soup,Prepared dishes/Stews and soups,per 100g edible portion,42,0.9,<0.5,0.3,0.2,<1,6.7,1.3,5,<0.5,1.4,0.9,0,91,133,74,15,705,705,0.03,0.03,0.07,tr.,0.32,9,0.15,3.6,0.1,0.23,110,350,330,29,11,34,0.5,4.2,0.3,n.d.
"Gravy, brown",Various/Sauces,per 100g edible portion,44,2.5,0.5,1.3,0.3,0,3.5,1.5,2,<0.5,1.5,2.3,0,90.6,1,1,1,0,0,0.02,0.04,0.03,tr.,0.58,3,0.08,1.7,tr.,0.14,95,900,610,18,8,40,0.6,3,0.8,n.d.
"Gravy, thickened",Various/Sauces,per 100g edible portion,53,3,0.7,1.3,0.3,0,4.6,0.8,3.7,0.5,1.6,1.4,0,88.8,48,25,2,273,273,0.02,0.04,0.03,tr.,0.58,3,0.08,1.7,tr.,0.1,95,580,610,18,8,40,0.6,3,0.8,n.d.
"Green bean, dried, soaked, steamed (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,79,0.5,0.1,0,0.3,0,10.5,5.6,5,6.3,5.1,0,0,77.6,57,29,0,343,343,0.11,0.18,0.33,0,1.03,46.5,0.55,16.9,0,0.25,630,5.9,37,140,57,99,1.8,6.3,0.6,n.d.
"Green bean, steamed (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,34,0.2,0.1,0,0.1,0,4.4,3.4,0.8,3.2,2,0,0,90,58,29,0,350,350,0.11,0.09,0.08,0,0.7,35.1,0.12,8.4,0,0.39,240,3.6,14,54,24,40,0.9,2.6,0.4,1
"Green pea, raw",Vegetables/Fresh vegetables,per 100g edible portion,90,0.7,0.1,0.1,0.4,0,12,5.5,6.2,6,6,0,0,74.5,87,43,0,520,520,0.4,0.14,0.16,0,2.2,70,0.5,32,0,0.2,300,2,40,26,34,130,1.9,4.2,0.8,n.d.
"Green pea, steamed (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,100,0.8,0.1,0.1,0.4,0,13.2,6.1,6.8,6.6,6.6,0,0,72.7,93,46,0,556,556,0.37,0.14,0.16,0,2.02,48.3,0.49,26.1,0,0.23,290,1.9,44,28,35,140,1.8,4.6,0.8,n.d.
"Green peas (canned), heated (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,89,0.8,0.1,0.1,0.4,0,13.1,0,4.5,5.1,4.9,0.6,0,76.2,66,33,0,396,396,0.1,0.08,0.04,0,0.85,25.5,0.12,6.8,0,0.21,110,240,430,32,20,84,1.4,5.3,0.5,n.d.
"Green peas and carrots (canned), heated (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,70,0.6,0.1,0.1,0.2,0,10.2,5.7,3.7,4.6,3.8,0.9,0,80.8,522,261,0,3132,3132,0.21,0.08,0.11,0,1.17,41,0.38,14.7,0,0.23,240,370,640,27,21,82,1,3.4,0.5,n.d.
"Green peas and carrots, canned",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,69,0.6,0.1,0.1,0.2,0,10,5.6,3.7,4.5,3.7,1,0,81.2,528,264,0,3166,3166,0.24,0.09,0.12,0,1.38,64.3,0.42,19.5,0,0.22,260,410,640,27,22,81,1.1,3.3,0.5,n.d.
"Green peas, canned",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,87,0.8,0.1,0.1,0.4,0,12.8,tr.,4.4,5,4.8,0.7,0,76,67,33,0,400,400,0.12,0.08,0.05,0,1,40,0.13,9,0,0.2,120,270,420,32,21,83,1.6,5.2,0.6,n.d.
"Greyerzer, at least 45% fidm",Milk and dairy products/Hard cheese,per 100g edible portion,396,32,19.2,7.5,1.5,96,0,0,0,0,26.4,1.5,0,36,310,300,290,119,119,0.02,0.37,0.13,1.45,0.2,10,0.47,tr.,0.7,0.35,90,590,900,900,35,600,0.4,11,4.2,n.d.
Grittibänz (Swiss bread man),Sweets/Other sweet pastries,per 100g edible portion,329,11.1,6.4,2.6,0.9,41,46.9,2.8,43.7,2.2,9.2,1.4,0,31.2,96,93,90,40,40,0.11,0.13,0.06,0.1,0.5,23.2,0.38,0.2,0.3,0.56,180,570,900,49,14,91,0.5,5.4,0.6,2.7
Ground meat sauce,Various/Sauces,per 100g edible portion,96,4,1.4,2.1,0.4,9,8.3,2.6,3.4,0.6,6.3,0.6,0,80.9,35,34,32,20,20,0.06,0.08,0.1,0.3,1.29,6,0.24,3.9,0.1,0.44,240,220,390,14,14,47,0.5,1.5,0.6,n.d.
"Halibut, raw",Fish/Sea fish,per 100g edible portion,118,3.9,0.5,0.9,1.2,60,0,0,0,0,20.6,0.2,0,74.5,42,42,42,0,0,0.04,0.05,0.42,0.96,4,12,0.28,0,9,0.7,400,64,210,15,23,220,0.5,1,0.5,n.d.
Ham croissant,Savoury snacks/Puff pastry snacks;Prepared dishes/Other savoury dishes,per 100g edible portion,340,20.9,9.5,8.1,2.2,43,26,0.7,25.1,1.4,11.1,1.4,0,40.9,53,41,29,142,142,0.23,0.09,0.1,0.12,1.69,9.5,0.42,20.2,0.2,2.06,210,570,880,24,16,130,0.7,5.1,0.9,n.d.
"Ham, cooked",Sausages and cold meats/Cooked sausage products,per 100g edible portion,104,2.3,0.9,1.1,0.2,42,0.7,0.7,0,0,20.2,2.4,0,73.6,4,4,4,0,0,0.86,0.2,0.39,0.09,6.46,2,0.7,60.8,tr.,0.19,450,940,1230,17,24,330,0.6,3.6,1.9,8
"Ham, raw",Sausages and cold meats/Raw sausage products,per 100g edible portion,229,11.5,4.3,5.3,0.7,78,0.3,0.3,0,0,31,4.4,0,51.9,2,2,2,0,0,0.97,0.25,0.52,0.39,11.41,2,1.5,4.4,0.6,0.2,560,1760,2850,9,30,290,2.8,tr.,2.9,15
"Hamburger, double",Prepared dishes/Fast Food,per 100g edible portion,258,12.1,6.3,4.1,1,30,24.7,3.3,21.3,1.7,11.9,1.4,0,47.4,80,59,39,243,243,0.18,0.14,0.13,1.1,2.06,23,0.29,0.9,0.1,0.79,220,560,730,100,24,220,1.2,6.5,1.9,16
"Hard and semi hard cheese, full fat (average)",Milk and dairy products/Hard cheese,per 100g edible portion,397,32.1,19.5,7.6,1.5,92,0,0,0,0,26.6,1.2,0,40.7,329,317,305,143,143,0.02,0.34,0.12,1.5,0.18,12.6,0.39,0,0.6,0.47,86,460,710,910,32,590,0.3,16,4.3,n.d.
Hard caramels,"Sweets/Candies, fruits gums and chewing gum",per 100g edible portion,385,0.3,0.2,0.1,0,0,95,95,0,0,0.5,0.1,0,4.1,0,0,0,0,0,tr.,tr.,tr.,tr.,tr.,tr.,tr.,tr.,tr.,tr.,9,25,73,4,3,12,0.1,tr.,0,n.d.
"Hare (Durchschnitt), cooked (without addition of fat and salt)",Meat and offal/Other animal species,per 100g edible portion,205,10.3,3.5,1.7,2.7,96,0,0,0,0,28,0.2,0,61.7,0,0,0,0,0,0.15,0.09,0.41,13.7,9.96,11,1.1,0,0,0.55,450,62,70,19,34,290,2.2,0.8,1.9,n.d.
"Hare, filet, raw",Meat and offal/Other animal species,per 100g edible portion,111,1.5,0.5,0.5,0.4,51,0,0,n.d.,0,24.3,0.1,0,72.7,0,0,0,0,0,0.05,0.11,0.74,8.7,4,4,0.69,0,n.d.,0.35,380,33,70,4.5,28,210,0.3,4.1,0.6,n.d.
"Hare, fresh",Meat and offal/Other animal species,per 100g edible portion,115,3,1,0.5,0.8,65,0,0,0,0,22,0.1,0,74,0,0,0,0,0,0.09,0.06,0.3,1,8.07,5,0.8,0,0,0.1,280,44,40,14,24,210,2.8,0.6,2.2,n.d.
"Hare, meat, raw",Meat and offal/Other animal species,per 100g edible portion,150,7.5,2.5,1.2,2,70,0,0,0,0,20.5,0.1,0,71.1,0,0,0,0,0,0.11,0.07,0.3,10,7.27,8,0.8,0,tr.,0.4,330,45,51,14,25,210,1.6,0.6,1.4,n.d.
Hazelnut,"Nuts, seeds and oleaginous fruit",per 100g edible portion,661,59.5,4.2,46.6,6.1,0,10.1,3,0.3,9.7,16.4,0,0,4,0,0,0,0,0,0.46,0.05,0.5,0,1.32,76.6,1.61,2,0,15.92,720,0.9,11,160,160,320,3.6,6.5,2.9,0.7
Hazelnut-chocolate spread,Sweets/Jams and sweet sandwich spreads,per 100g edible portion,551,33,12.7,15.4,3.6,0,55.9,54.5,0.5,2.9,6,0.1,0,2.7,1,1,0,4,4,0.09,0.2,0.09,0.18,0.39,13.5,0.54,0.4,0,3.81,320,46,84,130,50,160,1.2,3.8,1,n.d.
Hazelnut cookie,Sweets/Cookies/Biscuits,per 100g edible portion,473,27.7,8,16,2.3,32,47.4,23.3,24,3.5,6.7,0.1,0,13.5,100,94,89,64,64,0.09,0.07,0.11,tr.,0.57,11,0.3,0.6,0,7.27,220,52,30,80,49,160,1.6,2,0.9,n.d.
Hazelnut macaroon,Sweets/Cookies/Biscuits,per 100g edible portion,544,37,2.6,29,3.8,0,37.5,33,0.2,6,12.2,0.2,0,8.8,0,0,0,0,0,0.29,0.1,0.32,0.06,0.83,48.6,1.04,1.2,0,9.9,480,85,110,100,100,200,2.3,5.5,1.8,2.6
Hazelnut oil,Fats and oils/Oils,per 100ml food volume,810,90,7.5,67.9,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.74,0,0,0,0,0,0,0,0,0,0
Hempseed oil,Fats and oils/Oils,per 100ml food volume,810,90,8.9,11.4,65,0,0,0,0,0,0,0,0,0,11,5,0,64,0,0,0,0,0,0,0,0,0,0,1.62,0,0,n.d.,0,0,0,0,0,0,0
Hollandaise sauce,Various/Sauces,per 100g edible portion,212,18,9,5.3,0.7,60,9.3,6.2,3.1,0.1,3,1,0,66.2,230,184,138,550,550,0.03,0.06,0,0.3,0,18,0.5,6,0.5,8.08,45,400,400,41,6,30,0.7,4.5,0.7,n.d.
"Honey, from flowers",Sweets/Jams and sweet sandwich spreads,per 100g edible portion,306,0,0,0,0,0,76,76,0,0,0.4,0,0,20,0,0,0,0,0,0,0.05,0.3,0,0.2,5.3,0.1,1.7,0,0,47,7,18,5,3,17,0.5,0.5,0.4,n.d.
"Horse ragout with sauce, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,89,3.1,0.6,2,0.3,30,3,1.2,1.5,0.6,11.8,0.8,0,81.5,130,69,9,724,724,0.04,0.05,0.11,1.03,1.5,9.3,0.25,0.7,0.1,0.56,140,300,440,13,11,86,2.8,1.1,1.6,n.d.
"Horse, filet, pan fried (without addition of fat and salt)",Meat and offal/Other animal species,per 100g edible portion,129,2,0.9,0.9,0.1,71,0,0,0,0,27.8,0.1,0,70.2,20,20,20,0,0,0.09,0.11,0.29,3,4.73,9.1,0.66,0,0.2,0.14,300,51,12,16,27,220,6.2,1.4,4,n.d.
"Horse, filet, raw",Meat and offal/Other animal species,per 100g edible portion,102,1.9,0.9,0.8,0.1,52,0,0,0,0,21.4,0.1,0,74.8,20,20,20,0,0,0.13,0.1,0.38,3,4.6,8,0.6,0,0.2,0.14,330,44,9,13,23,190,4.7,1,2.9,n.d.
Hot Dog in white bread with ketchup and mustard,Prepared dishes/Other savoury dishes,per 100g edible portion,216,6.3,2.2,2.8,0.9,14,29.6,2.5,26.7,1.9,9.1,2,0,53.5,4,2,0,20,20,0.12,0.06,0.07,0.12,1.15,8.7,0.25,4.7,0.3,0.44,170,810,1260,17,21,110,0.8,2.3,0.9,n.d.
Hummus,Various/Sauces,per 100g edible portion,204,14,1.8,6.8,4.2,0,9.4,0.9,8.2,5.1,7.3,1.1,0,64.6,14,7,0,85,85,0.18,0.06,0.15,0,0.93,46.8,0.16,5.5,0,1.64,240,460,710,170,75,170,2.1,1.3,1.3,n.d.
Huntsman sauce,Various/Sauces,per 100g edible portion,58,1.8,0.5,0.7,0.2,0,8,2.5,5.5,0.5,2.2,1.5,0,85.8,43,23,2,247,247,0.01,0.06,0.01,tr.,0.5,4,0.16,1.4,0.4,0.08,120,620,560,17,8,47,0.7,4,0.7,n.d.
"Ice cream, dairy, fruit",Sweets/Milk based ice cream,per 100g edible portion,185,8,5,2.6,0.3,26,24.7,23.7,tr.,0,3.5,0.2,0,59.8,121,107,94,160,160,0.04,0.26,0.07,0,tr.,9,tr.,1,0.1,0.17,180,61,tr.,110,tr.,99,0.5,tr.,0.4,n.d.
"Ice Tea, sweetened",Non-alcoholic beverages/Soft drinks;Non-alcoholic beverages/Tea,per 100g edible portion,30,0,0,0,0,0,7.5,7.5,0,0,0,0,0,92.5,0,0,0,0,0,0,0,0,0,0.09,4.6,0,0,0,0,18,0,1,0.1,0.9,0.9,0,0.9,0,n.d.
"Iceberg lettuce, raw",Vegetables/Fresh vegetables,per 100g edible portion,16,0.2,0,0,0.1,0,1.6,1.6,0,1.8,1,0,0,94.6,12,6,0,74,74,0.04,0.03,0.04,0,0.2,34.7,0.08,4.1,0,0.57,180,3.6,42,34,7,22,0.5,2,0.2,n.d.
Jam,Sweets/Jams and sweet sandwich spreads,per 100g edible portion,246,0.5,tr.,tr.,tr.,0,58.7,58.7,0,2.2,0.5,0,0,36,9,5,0,56,56,0.02,0.02,tr.,0,0.9,tr.,0.03,4,0,0,100,12,2,18,2,7,1.4,1,0.2,n.d.
"Jam, low calorie, with sweetener",Sweets/Jams and sweet sandwich spreads,per 100g edible portion,136,0.5,tr.,tr.,tr.,0,31.9,31.9,tr.,0.8,0.5,0.1,0,65.3,9,5,0,56,56,tr.,tr.,tr.,0,tr.,tr.,0.05,26,0,0,120,20,3,19,1,15,0.4,2,tr.,n.d.
Jelly babies with fruit essence,"Sweets/Candies, fruits gums and chewing gum",per 100g edible portion,341,0,0,0,0,0,78.6,74.7,3.9,0,6.6,0.2,0,12.1,0,0,0,0,0,tr.,tr.,tr.,tr.,tr.,tr.,tr.,tr.,tr.,tr.,12,62,160,9,2,4,0.2,tr.,1.4,n.d.
"Jerusalem artichoke, cooked (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,52,0.4,0.1,0,0.2,0,3.8,3.8,0,11.8,2.3,0,0,81.7,7,3,0,40,40,0.08,0.04,0.06,0,0.96,17.9,0.28,3.1,0,0.16,250,1,46,24,9.9,64,0.2,0.1,0.2,0.1
"Jerusalem artichoke, raw",Vegetables/Fresh vegetables,per 100g edible portion,54,0.4,0.1,0,0.2,0,4,4,0,12.1,2.4,0,0,79.3,7,4,0,42,42,0.1,0.06,0.08,0,1.3,34,0.44,7.3,0,0.15,530,1.7,49,24,16,68,0.3,0.1,0.2,0.2
Kakaobutter,Fats and oils/Fats,per 100g edible portion,900,100,59.7,32.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
"Kaki, raw",Fruit/Fresh fruit,per 100g edible portion,70,0.3,0,0.1,0.1,0,14.3,13.9,tr.,3.4,0.9,0,0,81.8,57,28,0,341,81,0.04,0.08,0.03,0,0.2,19,0.14,15.1,0,0.12,160,5,33,6.9,7.2,13,0.1,1.8,0.4,n.d.
"Kale, raw",Vegetables/Fresh vegetables,per 100g edible portion,44,0.9,0.1,0,0.5,0,2.5,2.5,0,4.2,4.3,0.3,0,83.1,471,236,0,2828,2828,0.1,0.25,0.22,0,2.1,85.4,0.7,74,0,1.7,440,110,170,240,38,67,1.4,4.5,0.7,1.2
"Kale, stewed (without addition of salt and fat)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,47,1,0.1,0,0.5,0,2.7,2.7,0,4.5,4.6,0.3,0,87.3,466,233,0,2798,2798,0.1,0.25,0.21,0,2.12,63.6,0.67,59.8,0,1.81,470,120,180,260,40,71,1.5,4.8,0.7,1.3
Kebab in pita bread,Prepared dishes/Sandwiches,per 100g edible portion,123,3.6,0.8,1.2,1.3,18,14.5,2.2,12.2,1.2,7.6,0.6,0,73.3,21,13,4,102,102,0.06,0.07,0.1,0.47,1.6,14.6,0.29,5,0.1,1.6,190,240,390,26,13,75,0.5,3.1,0.9,n.d.
Ketchup,Various/Sauces,per 100g edible portion,117,0.4,0.1,0.1,0.2,0,26,24.8,1.2,0.9,2,2.8,0,66.7,34,17,0,203,203,0.06,0.06,0.16,0,1,10,0.2,15,0,1.54,480,1120,1810,19,19,40,0.9,0.9,0.1,n.d.
"Kiwi fruit, raw",Fruit/Fresh fruit,per 100g edible portion,58,0.6,0.1,0.2,0.3,0,11,8.9,tr.,2.4,0.9,0,0,83.5,8,4,0,47,47,0.01,0.01,0.05,0,0.27,33,0.27,75.3,0,2.17,290,1,33,33,13,33,0.2,1.7,0.1,<0.2
"Kohlrabi, raw",Vegetables/Fresh vegetables,per 100g edible portion,27,0.2,0,0,0.1,0,3.7,3.6,0.1,1.4,1.9,0,0,89.3,3,1,0,17,16,0.03,0.05,0.08,0,1.8,39.5,0.12,57.6,0,0.48,310,16,34,23,16,43,0.2,0.7,0.2,0.9
"Kohlrabi, steamed (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,28,0.2,0,0,0.1,0,3.9,3.8,0.1,1.5,2,0,0,92.4,3,1,0,17,16,0.03,0.05,0.07,0,1.6,26.4,0.11,48,0,0.53,300,16,36,25,16,45,0.2,0.8,0.2,0.9
Ladyfinger cookie,Sweets/Cookies/Biscuits,per 100g edible portion,413,8.3,2.4,3.2,1.2,281,71.8,34.9,36.8,1.4,12.2,0.8,0,5,168,167,166,9,9,0.07,0.2,0.1,1,0.26,25,0.9,0,1,1.53,140,310,150,65,15,330,2.1,8,1.4,n.d.
"Lamb's lettuce, raw",Vegetables/Fresh vegetables,per 100g edible portion,23,0.4,0.1,0,0.2,0,2,2,0,1.7,2,0,0,92.8,447,223,0,2681,2681,0.08,0.09,0.12,0,0.4,71.1,0.2,33.4,0,0.22,460,4,70,38,13,53,2.1,35,0.5,n.d.
"Lamb (average excluding offal, chop), raw","Meat and offal/Lamb, mutton",per 100g edible portion,134,5.8,3,2.7,0.6,67,0,0,0,0,20.5,0.1,0,73.7,7,7,6,4,4,0.17,0.1,0.38,3.26,3.86,10.5,0.77,0,3.8,0.4,310,58,77,6.3,22,190,1.7,0.7,3.3,n.d.
"Lamb (sheep), cutlet, raw (Switzerland)","Meat and offal/Lamb, mutton",per 100g edible portion,179,10.9,5.2,4,0.9,72,0,0,n.d.,0,20.2,0.2,0,65.4,9,9,9,5,<5,0.18,0.06,0.32,3.61,n.d.,6,0.57,0,5.2,0.5,310,69,79,8.4,20,180,1.5,0.9,2.1,7
"lamb (sheep), filet, pan fried ""medium"" (without addition of fat and salt)","Meat and offal/Lamb, mutton",per 100g edible portion,136,3.6,1.4,1.6,0.2,88,0,0,0,0,25.8,0.2,0,70.5,10,10,9,5,5,0.1,0.25,0.14,2.05,6.08,25.6,0.7,0,0,0.2,290,77,110,14,31,220,2.4,0.9,4.3,5.5
"Lamb (sheep), filet, raw","Meat and offal/Lamb, mutton",per 100g edible portion,112,3.4,1.3,1.5,0.2,66,0,0,0,0,20.4,0.2,0,75.1,9,9,9,5,<5,0.13,0.23,0.17,2.2,6.51,24,0.66,0,tr.,0.19,280,68,79,12,27,190,1.9,0.7,3.2,4.1
"Lamb (sheep), filet, raw (Australia, New Zealand)","Meat and offal/Lamb, mutton",per 100g edible portion,117,3.3,1.9,1.9,0.4,72,0,0,n.d.,0,21.8,0.1,0,73,9,9,9,5,<5,0.18,0.06,0.51,3.61,n.d.,6,0.92,0,2.9,0.5,330,44,79,3.8,23,200,1.9,0.8,2.3,8.7
"Lamb (sheep), leg, raw (Switzerland, New Zealand)","Meat and offal/Lamb, mutton",per 100g edible portion,155,8.2,4.4,3.7,0.9,65,0,0,n.d.,0,20.2,0.2,0,69.1,9,9,9,5,<5,0.18,0.06,0.46,3.61,n.d.,6,0.92,0,6.1,0.4,330,61,76,4.7,20,190,1.6,0.8,3.6,4.7
"Lamb (sheep), racks, raw (Australia, New Zealand)","Meat and offal/Lamb, mutton",per 100g edible portion,156,8.3,4.3,3.5,0.9,68,0,0,n.d.,0,20.3,0.2,0,67.6,9,9,9,5,<5,0.18,0.06,0.61,3.61,1.2,6,0.57,0,2.9,0.5,300,63,79,7.5,24,180,1.8,0.9,2.2,n.d.
"Lamb ragout with sauce, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,113,6.1,2.2,3.3,0.8,38,3,1.2,1.5,0.6,11.1,0.8,0,79.2,121,60,0,724,724,0.05,0.03,0.11,1.24,0.43,8.5,0.21,0.7,2.8,0.72,130,310,480,9,8.7,84,0.8,1,2.5,n.d.
"Lamb, leg, roast (without addition of fat and salt)","Meat and offal/Lamb, mutton",per 100g edible portion,203,9.8,5.2,4.5,1.1,97,0,0,n.d.,0,28.6,0.2,0,61.6,11,11,10,6,6,0.16,0.07,0.41,3.77,n.d.,7.2,1.1,0,7.2,0.48,390,77,110,6.3,25,240,2.3,1.2,5.4,7
"Lamb, ragout, raw (Switzerland)","Meat and offal/Lamb, mutton",per 100g edible portion,154,8.4,4.3,3.7,1,66,0,0,n.d.,0,19.6,0.2,0,69.9,0,0,0,0,0,0.18,0.06,0.36,3.61,1.2,6,0.57,0,6.1,0.5,310,60,75,4.6,18,170,1.3,0.7,4.3,n.d.
Landjäger sausage,Sausages and cold meats/Raw sausage products,per 100g edible portion,491,42.7,16.9,19.1,3.5,86,tr.,tr.,0,0,26.6,3.5,0,26.6,1,1,tr.,7,7,0.23,0.13,0.22,2,5.5,2.6,0.7,tr.,1.6,tr.,320,1410,2260,21,21,180,1.9,0.8,3.9,11
